college_name,college_details_link,college_city_name,college_address,subject1,subject1_link,subject2,subject2_link,subject3,subject3_link,subject4,subject4_link,college_review_link,write_review_link,college_course_list_link,college_contact_detail_link,college_city_latitude,college_city_longitude,college_address_latitude,college_address_longitude
"Little Heaven English Medium Secondary School,",https://www.collegenp.com/college/little-heaven-english-medium-secondary-school-dang/,Dang,"Tulsipur, Dang",Ten Plus Two in Management,https://www.collegenp.com/course/little-heaven-english-medium-secondary-school-dang-ten-plus-two-in-management-2-management/,Ten Plus Two in Education,https://www.collegenp.com/course/little-heaven-english-medium-secondary-school-dang-ten-plus-two-in-education-2-education/,,,,,https://www.collegenp.com/college/little-heaven-english-medium-secondary-school-dang/#discussion,https://www.collegenp.com/college/little-heaven-english-medium-secondary-school-dang/write-review/,https://www.collegenp.com/college/little-heaven-english-medium-secondary-school-dang/#course-list,https://www.collegenp.com/college/little-heaven-english-medium-secondary-school-dang/#contact-detail,23.3780516,110.910308,28.10627885,82.31895613569378
"Liverpool International College,",https://www.collegenp.com/college/liverpool-international-college-kathmandu/,Kathmandu,"New Baneshwor, Kathmandu",Ten Plus Two (10+2) Management,https://www.collegenp.com/course/liverpool-international-college-kathmandu-ten-plus-two-102-management-2-management/,Ten Plus Two (10+2) Science,https://www.collegenp.com/course/liverpool-international-college-kathmandu-ten-plus-two-102-science-2-science/,Bachelor of Business Studies (BBS),https://www.collegenp.com/course/liverpool-international-college-kathmandu-bachelor-of-business-studies-bbs-bbs/,Bachelor of Social Works (BSW),https://www.collegenp.com/course/liverpool-international-college-kathmandu-bachelor-of-social-works-bsw-bsw/,https://www.collegenp.com/college/liverpool-international-college-kathmandu/#discussion,https://www.collegenp.com/college/liverpool-international-college-kathmandu/write-review/,https://www.collegenp.com/college/liverpool-international-college-kathmandu/#course-list,https://www.collegenp.com/college/liverpool-international-college-kathmandu/#contact-detail,27.708317,85.3205817,27.6898474,85.3355282
"Lokpriya Secondary School,",https://www.collegenp.com/college/lokpriya-secondary-school-mugu/,Mugu,"Gamtha, Mugu",Ten Plus Two Education,https://www.collegenp.com/course/lokpriya-secondary-school-mugu-ten-plus-two-education-2-education/,JTA Plant Science,https://www.collegenp.com/course/lokpriya-secondary-school-mugu-jta-plant-science-jta/,,,,,https://www.collegenp.com/college/lokpriya-secondary-school-mugu/#discussion,https://www.collegenp.com/college/lokpriya-secondary-school-mugu/write-review/,https://www.collegenp.com/college/lokpriya-secondary-school-mugu/#course-list,https://www.collegenp.com/college/lokpriya-secondary-school-mugu/#contact-detail,29.7895075,82.54989664149778,29.5101324,81.8959320602778
"Lokpriya Secondary School, Manang,",https://www.collegenp.com/college/lokpriya-secondary-school-manang/,Manang,"Chame, Manang",Ten Plus Two in Education,https://www.collegenp.com/course/lokpriya-secondary-school-manang-ten-plus-two-in-education-2-education/,,,,,,,https://www.collegenp.com/college/lokpriya-secondary-school-manang/#discussion,https://www.collegenp.com/college/lokpriya-secondary-school-manang/write-review/,https://www.collegenp.com/college/lokpriya-secondary-school-manang/#course-list,https://www.collegenp.com/college/lokpriya-secondary-school-manang/#contact-detail,28.666111,84.023117,28.5244167,84.25993738617632
"Lord Buddha College Biratnagar,",https://www.collegenp.com/college/lord-buddha-college-biratnagar-morang/,Morang,"Biratnagar, Morang",Bachelor of Business Studies (BBS),https://www.collegenp.com/course/lord-buddha-college-biratnagar-morang-bachelor-of-business-studies-bbs-bbs/,Master of Business Studies (MBS),https://www.collegenp.com/course/lord-buddha-college-biratnagar-morang-master-of-business-studies-mbs-mbs/,,,,,https://www.collegenp.com/college/lord-buddha-college-biratnagar-morang/#discussion,https://www.collegenp.com/college/lord-buddha-college-biratnagar-morang/write-review/,https://www.collegenp.com/college/lord-buddha-college-biratnagar-morang/#course-list,https://www.collegenp.com/college/lord-buddha-college-biratnagar-morang/#contact-detail,26.610518650000003,87.47285110888922,26.4623007,87.281617
"Lord Buddha Education Foundation (LBEF),",https://www.collegenp.com/college/lord-buddha-education-foundation-lbef-kathmandu/,Kathmandu,"Maitidevi, Kathmandu",B.Sc. (Hons) in Information Technology,https://www.collegenp.com/course/lord-buddha-education-foundation-lbef-kathmandu-bsc-hons-in-information-technology-bsc-it/,B.Sc.(Hons.) IT - Database Administration,https://www.collegenp.com/course/lord-buddha-education-foundation-lbef-kathmandu-bschons-it-database-administration-bsc-it/,B.Sc.(Hons.) IT- Network Computing,https://www.collegenp.com/course/lord-buddha-education-foundation-lbef-kathmandu-bschons-it-network-computing-bsc-it/,B.A(Hons.) In Business Management,https://www.collegenp.com/course/lord-buddha-education-foundation-lbef-kathmandu-bahons-in-business-management-bbm/,https://www.collegenp.com/college/lord-buddha-education-foundation-lbef-kathmandu/#discussion,https://www.collegenp.com/college/lord-buddha-education-foundation-lbef-kathmandu/write-review/,https://www.collegenp.com/college/lord-buddha-education-foundation-lbef-kathmandu/#course-list,https://www.collegenp.com/college/lord-buddha-education-foundation-lbef-kathmandu/#contact-detail,27.708317,85.3205817,27.7051196,85.3335568
"Lord Buddha Secondary School,",https://www.collegenp.com/college/lord-buddha-secondary-school-morang/,Morang,"Biratnagar, Morang",Ten Plus Two in Management,https://www.collegenp.com/course/lord-buddha-secondary-school-morang-ten-plus-two-in-management-2-management/,Ten Plus Two in Computer Science,https://www.collegenp.com/course/lord-buddha-secondary-school-morang-ten-plus-two-in-computer-science-2-science/,Ten Plus Two in Science,https://www.collegenp.com/course/lord-buddha-secondary-school-morang-ten-plus-two-in-science-2-science/,Ten Plus Two in Hotel Management,https://www.collegenp.com/course/lord-buddha-secondary-school-morang-ten-plus-two-in-hotel-management-2-management/,https://www.collegenp.com/college/lord-buddha-secondary-school-morang/#discussion,https://www.collegenp.com/college/lord-buddha-secondary-school-morang/write-review/,https://www.collegenp.com/college/lord-buddha-secondary-school-morang/#course-list,https://www.collegenp.com/college/lord-buddha-secondary-school-morang/#contact-detail,26.610518650000003,87.47285110888922,26.4623007,87.281617
"Lord's Light Academy,",https://www.collegenp.com/college/lords-light-academy-kathmandu/,Kathmandu,"Jorpati, Kathmandu",,,,,,,,,https://www.collegenp.com/college/lords-light-academy-kathmandu/#discussion,https://www.collegenp.com/college/lords-light-academy-kathmandu/write-review/,https://www.collegenp.com/college/lords-light-academy-kathmandu/#course-list,https://www.collegenp.com/college/lords-light-academy-kathmandu/#contact-detail,27.708317,85.3205817,27.7211764,85.3680385
"Lotus Academic College,",https://www.collegenp.com/college/lotus-academic-college-lalitpur/,Lalitpur,"Patan, Lalitpur",MA in Applied Buddhism,https://www.collegenp.com/course/lotus-academic-college-lalitpur-ma-in-applied-buddhism-ma/,Post Graduate Diploma in Buddhist Studies,https://www.collegenp.com/course/lotus-academic-college-lalitpur-post-graduate-diploma-in-buddhist-studies-pgd/,,,,,https://www.collegenp.com/college/lotus-academic-college-lalitpur/#discussion,https://www.collegenp.com/college/lotus-academic-college-lalitpur/write-review/,https://www.collegenp.com/college/lotus-academic-college-lalitpur/#course-list,https://www.collegenp.com/college/lotus-academic-college-lalitpur/#contact-detail,24.70038485,78.51866758648347,27.6767339,85.316805
"Lotus Eye English Secondary School,",https://www.collegenp.com/college/lotus-eye-english-secondary-school-kailali/,Kailali,"Attariya, Kailali",,,,,,,,,https://www.collegenp.com/college/lotus-eye-english-secondary-school-kailali/#discussion,https://www.collegenp.com/college/lotus-eye-english-secondary-school-kailali/write-review/,https://www.collegenp.com/college/lotus-eye-english-secondary-school-kailali/#course-list,https://www.collegenp.com/college/lotus-eye-english-secondary-school-kailali/#contact-detail,28.73152495,80.9036982731563,28.8007765,80.58244383852376
"LRI College,",https://www.collegenp.com/college/lri-college-kathmandu/,Kathmandu,"Kalanki, Kathmandu",Ten Plus Two (+2) Management,https://www.collegenp.com/course/lri-college-kathmandu-ten-plus-two-2-management-2-management/,Ten Plus Two (+2) Science,https://www.collegenp.com/course/lri-college-kathmandu-ten-plus-two-2-science-2-science/,,,,,https://www.collegenp.com/college/lri-college-kathmandu/#discussion,https://www.collegenp.com/college/lri-college-kathmandu/write-review/,https://www.collegenp.com/college/lri-college-kathmandu/#course-list,https://www.collegenp.com/college/lri-college-kathmandu/#contact-detail,27.708317,85.3205817,27.6932983,85.2816525
"Lumbini Academic College,",https://www.collegenp.com/college/lumbini-academic-college-kathmandu/,Kathmandu,"Chabahil, Kathmandu",Ten Plus Two in Management,https://www.collegenp.com/course/lumbini-academic-college-kathmandu-ten-plus-two-in-management-2-management/,Ten Plus Two in Education,https://www.collegenp.com/course/lumbini-academic-college-kathmandu-ten-plus-two-in-education-2-education/,Ten Plus Two in Humanities,https://www.collegenp.com/course/lumbini-academic-college-kathmandu-ten-plus-two-in-humanities-2-humanities/,Ten Plus Two in Science,https://www.collegenp.com/course/lumbini-academic-college-kathmandu-ten-plus-two-in-science-2-science/,https://www.collegenp.com/college/lumbini-academic-college-kathmandu/#discussion,https://www.collegenp.com/college/lumbini-academic-college-kathmandu/write-review/,https://www.collegenp.com/college/lumbini-academic-college-kathmandu/#course-list,https://www.collegenp.com/college/lumbini-academic-college-kathmandu/#contact-detail,27.708317,85.3205817,27.7170154,85.3466126
