college_name,college_details_link,college_city_name,college_address,subject1,subject1_link,subject2,subject2_link,subject3,subject3_link,subject4,subject4_link,college_review_link,write_review_link,college_course_list_link,college_contact_detail_link,college_city_latitude,college_city_longitude,college_address_latitude,college_address_longitude
"Informatics College Pokhara,",https://www.collegenp.com/college/informatics-college-pokhara/,Pokhara,"Matepani, Pokhara",BBA in International Business,https://www.collegenp.com/course/informatics-college-pokhara-bba-in-international-business-bba/,B.Sc. (Hons) in Computing,https://www.collegenp.com/course/informatics-college-pokhara-bsc-hons-in-computing-bsc-it/,BBA in Marketing,https://www.collegenp.com/course/informatics-college-pokhara-bba-in-marketing-bba/,BBA in Accounting & Finance,https://www.collegenp.com/course/informatics-college-pokhara-bba-in-accounting-and-finance-bba/,https://www.collegenp.com/college/informatics-college-pokhara/#discussion,https://www.collegenp.com/college/informatics-college-pokhara/write-review/,https://www.collegenp.com/college/informatics-college-pokhara/#course-list,https://www.collegenp.com/college/informatics-college-pokhara/#contact-detail,28.209538,83.991402,28.2161683,84.0064323
"ISMT College,",https://www.collegenp.com/college/ismt-college/,Kathmandu,"Tinkune, Kathmandu",BA (Hons) Business and Management (BBA),https://www.collegenp.com/course/ismt-college-ba-hons-business-and-management-bba-bba/,BSc. (Hons) Computer Systems Engineering,https://www.collegenp.com/course/ismt-college-bsc-hons-computer-systems-engineering-bsc-it/,BHM - BSc. (Hons) International Tourism and Hospitality Management,https://www.collegenp.com/course/ismt-college-bhm-bsc-hons-international-tourism-and-hospitality-management-bhm/,ACCA,https://www.collegenp.com/course/ismt-college-acca-acca/,https://www.collegenp.com/college/ismt-college/#discussion,https://www.collegenp.com/college/ismt-college/write-review/,https://www.collegenp.com/college/ismt-college/#course-list,https://www.collegenp.com/college/ismt-college/#contact-detail,27.708317,85.3205817,27.6852122,85.34864654895267
"Padmashree International College,",https://www.collegenp.com/college/padmashree-international-college-kathmandu/,Kathmandu,"Tinkune, Kathmandu",B.Tech. Food Technology,https://www.collegenp.com/course/padmashree-international-college-kathmandu-btech-food-technology-btech/,Bachelor of Information Technology (Hons) BIT,https://www.collegenp.com/course/padmashree-international-college-kathmandu-bachelor-of-information-technology-hons-bit-bit/,BA (Hons) in Business & Hospitality Management (BABHM),https://www.collegenp.com/course/padmashree-international-college-kathmandu-ba-hons-in-business-and-hospitality-management-babhm-bh/,Bachelor of Computer Application (BCA),https://www.collegenp.com/course/padmashree-international-college-kathmandu-bachelor-of-computer-application-bca-bca/,https://www.collegenp.com/college/padmashree-international-college-kathmandu/#discussion,https://www.collegenp.com/college/padmashree-international-college-kathmandu/write-review/,https://www.collegenp.com/college/padmashree-international-college-kathmandu/#course-list,https://www.collegenp.com/college/padmashree-international-college-kathmandu/#contact-detail,27.708317,85.3205817,27.6852122,85.34864654895267
"The British College,",https://www.collegenp.com/college/the-british-college-kathmandu/,Kathmandu,"Thapathali, Kathmandu",BBA (Hons) Business and Management,https://www.collegenp.com/course/the-british-college-kathmandu-bba-hons-business-and-management-bba/,BSc (Hons) Computing,https://www.collegenp.com/course/the-british-college-kathmandu-bsc-hons-computing-bsc/,MBA (Executive),https://www.collegenp.com/course/the-british-college-kathmandu-mba-executive-emba/,MSc International Business Management (MIBM),https://www.collegenp.com/course/the-british-college-kathmandu-msc-international-business-management-mibm-mbm/,https://www.collegenp.com/college/the-british-college-kathmandu/#discussion,https://www.collegenp.com/college/the-british-college-kathmandu/write-review/,https://www.collegenp.com/college/the-british-college-kathmandu/#course-list,https://www.collegenp.com/college/the-british-college-kathmandu/#contact-detail,27.708317,85.3205817,27.6915948,85.3201449
"Tribhuvan University (TU),",https://www.collegenp.com/college/tribhuvan-university/,Kathmandu,"Kirtipur, Kathmandu",,,,,,,,,https://www.collegenp.com/college/tribhuvan-university/#discussion,https://www.collegenp.com/college/tribhuvan-university/write-review/,https://www.collegenp.com/college/tribhuvan-university/#course-list,https://www.collegenp.com/college/tribhuvan-university/#contact-detail,27.708317,85.3205817,27.676664,85.2782438
"Academy of Culinary Arts and Hospitality Management,",https://www.collegenp.com/college/academy-of-culinary-arts-and-hospitality-management-lalitpur/,Lalitpur,"Lagankhel, Lalitpur",Bachelor of Science (Hons.) in Hospitality Management,https://www.collegenp.com/course/academy-of-culinary-arts-and-hospitality-management-lalitpur-bachelor-of-science-hons-in-hospital/,Diploma in Culinary Arts,https://www.collegenp.com/course/academy-of-culinary-arts-and-hospitality-management-lalitpur-diploma-in-culinary-arts-dhm/,Australian Diploma in Hospitality Management,https://www.collegenp.com/course/academy-of-culinary-arts-and-hospitality-management-lalitpur-australian-diploma-in-hospitality-manag/,,,https://www.collegenp.com/college/academy-of-culinary-arts-and-hospitality-management-lalitpur/#discussion,https://www.collegenp.com/college/academy-of-culinary-arts-and-hospitality-management-lalitpur/write-review/,https://www.collegenp.com/college/academy-of-culinary-arts-and-hospitality-management-lalitpur/#course-list,https://www.collegenp.com/college/academy-of-culinary-arts-and-hospitality-management-lalitpur/#contact-detail,24.70038485,78.51866758648347,27.6649238,85.32332650122117
"Acme Engineering College,",https://www.collegenp.com/college/acme-engineering-college-kathmandu/,Kathmandu,"Sitapaila, Kathmandu",B.E. Civil,https://www.collegenp.com/course/acme-engineering-college-kathmandu-be-civil-be/,B.E. Computer Engineering,https://www.collegenp.com/course/acme-engineering-college-kathmandu-be-computer-engineering-be/,Bachelor Of Architecture (B.Arch),https://www.collegenp.com/course/acme-engineering-college-kathmandu-bachelor-of-architecture-barch-barch/,M.Sc. Information System Engineering,https://www.collegenp.com/course/acme-engineering-college-kathmandu-msc-information-system-engineering-msc-engineering/,https://www.collegenp.com/college/acme-engineering-college-kathmandu/#discussion,https://www.collegenp.com/college/acme-engineering-college-kathmandu/write-review/,https://www.collegenp.com/college/acme-engineering-college-kathmandu/#course-list,https://www.collegenp.com/college/acme-engineering-college-kathmandu/#contact-detail,27.708317,85.3205817,27.707529,85.282715
"Advance Academy and Republica College,",https://www.collegenp.com/college/advanced-academy-and-republica-college-lalitpur/,Lalitpur,"Kumaripati, Lalitpur",Bachelor of Business Studies (BBS),https://www.collegenp.com/course/advanced-academy-and-republica-college-lalitpur-bachelor-of-business-studies-bbs-bbs/,Ten Plus Two (+2) Management,https://www.collegenp.com/course/advanced-academy-and-republica-college-lalitpur-ten-plus-two-2-management-2-management/,Ten Plus Two (+2) Humanities,https://www.collegenp.com/course/advanced-academy-and-republica-college-lalitpur-ten-plus-two-2-humanities-2-humanities/,Ten Plus Two (+2) Science,https://www.collegenp.com/course/advanced-academy-and-republica-college-lalitpur-ten-plus-two-2-science-2-science/,https://www.collegenp.com/college/advanced-academy-and-republica-college-lalitpur/#discussion,https://www.collegenp.com/college/advanced-academy-and-republica-college-lalitpur/write-review/,https://www.collegenp.com/college/advanced-academy-and-republica-college-lalitpur/#course-list,https://www.collegenp.com/college/advanced-academy-and-republica-college-lalitpur/#contact-detail,24.70038485,78.51866758648347,27.6705227,85.3207195
"Alka Institute of Medical Sciences,",https://www.collegenp.com/college/alka-institute-of-medical-sciences-lalitpur/,Lalitpur,"Jwalakhel, Lalitpur",Certificate in Medical Laboratory Technology (CMLT),https://www.collegenp.com/course/alka-institute-of-medical-sciences-lalitpur-certificate-in-medical-laboratory-technology-cmlt-cmlt/,PCL Nursing (Staff Nurse),https://www.collegenp.com/course/alka-institute-of-medical-sciences-lalitpur-pcl-nursing-staff-nurse-staff-nurse/,PCL in General Medicine-Health Assistant (HA),https://www.collegenp.com/course/alka-institute-of-medical-sciences-lalitpur-pcl-in-general-medicine-health-assistant-ha-ha/,Post Basic Bachelor in Nursing (PBBN),https://www.collegenp.com/course/alka-institute-of-medical-sciences-lalitpur-post-basic-bachelor-in-nursing-pbbn-pbbn/,https://www.collegenp.com/college/alka-institute-of-medical-sciences-lalitpur/#discussion,https://www.collegenp.com/college/alka-institute-of-medical-sciences-lalitpur/write-review/,https://www.collegenp.com/college/alka-institute-of-medical-sciences-lalitpur/#course-list,https://www.collegenp.com/college/alka-institute-of-medical-sciences-lalitpur/#contact-detail,24.70038485,78.51866758648347,27.675426,85.3154142
"Amrit Science Campus (ASCOL),",https://www.collegenp.com/college/amrit-science-campus-ascol-kathmandu/,Kathmandu,"Lainchaur, Kathmandu",B.Sc. Computer Science and Information Technology (B.SC. CSIT),https://www.collegenp.com/course/amrit-science-campus-ascol-kathmandu-bsc-computer-science-and-information-technology-bsc-csit-/,Bachelor of Science (B.Sc) in Environmental Science,https://www.collegenp.com/course/amrit-science-campus-ascol-kathmandu-bachelor-of-science-bsc-in-environmental-science-bsc/,Bachelor of Science (B.Sc) in Physics,https://www.collegenp.com/course/amrit-science-campus-ascol-kathmandu-bachelor-of-science-bsc-in-physics-bsc/,M.Sc in Physics,https://www.collegenp.com/course/amrit-science-campus-ascol-kathmandu-msc-in-physics-msc/,https://www.collegenp.com/college/amrit-science-campus-ascol-kathmandu/#discussion,https://www.collegenp.com/college/amrit-science-campus-ascol-kathmandu/write-review/,https://www.collegenp.com/college/amrit-science-campus-ascol-kathmandu/#course-list,https://www.collegenp.com/college/amrit-science-campus-ascol-kathmandu/#contact-detail,27.708317,85.3205817,27.7194096,85.315162
"Araniko International Academy,",https://www.collegenp.com/college/araniko-international-academy-lalitpur/,Lalitpur,"Satdobato, Lalitpur",Ten Plus Two (+2) Management,https://www.collegenp.com/course/araniko-international-academy-lalitpur-ten-plus-two-2-management-2-management/,Ten Plus Two (+2) Science,https://www.collegenp.com/course/araniko-international-academy-lalitpur-ten-plus-two-2-science-2-science/,Ten Plus Two (+2) Humanities,https://www.collegenp.com/course/araniko-international-academy-lalitpur-ten-plus-two-2-humanities-2-humanities/,,,https://www.collegenp.com/college/araniko-international-academy-lalitpur/#discussion,https://www.collegenp.com/college/araniko-international-academy-lalitpur/write-review/,https://www.collegenp.com/college/araniko-international-academy-lalitpur/#course-list,https://www.collegenp.com/college/araniko-international-academy-lalitpur/#contact-detail,24.70038485,78.51866758648347,27.657521,85.3250564
"Asian College for Advance Studies ,",https://www.collegenp.com/college/asian-college-for-advance-studies-lalitpur/,Lalitpur,"Satdobato, Lalitpur",Bachelor of Pharmacy,https://www.collegenp.com/course/asian-college-for-advance-studies-lalitpur-bachelor-of-pharmacy-bpharm/,Bachelor of Public Health (BPH),https://www.collegenp.com/course/asian-college-for-advance-studies-lalitpur-bachelor-of-public-health-bph-bph/,Bachelor of Science (B.Sc) in Nursing,https://www.collegenp.com/course/asian-college-for-advance-studies-lalitpur-bachelor-of-science-bsc-in-nursing-bsc-nursing/,Certificate in Diagnostic Radiography,https://www.collegenp.com/course/asian-college-for-advance-studies-lalitpur-certificate-in-diagnostic-radiography-certificate/,https://www.collegenp.com/college/asian-college-for-advance-studies-lalitpur/#discussion,https://www.collegenp.com/college/asian-college-for-advance-studies-lalitpur/write-review/,https://www.collegenp.com/college/asian-college-for-advance-studies-lalitpur/#course-list,https://www.collegenp.com/college/asian-college-for-advance-studies-lalitpur/#contact-detail,24.70038485,78.51866758648347,27.657521,85.3250564
"Asian College of Medical Science and Technology,",https://www.collegenp.com/college/asian-college-of-medical-science-and-technology-lalitpur/,Lalitpur,"Kupandole, Lalitpur",Certificate in Medical Laboratory Technology (CMLT),https://www.collegenp.com/course/asian-college-of-medical-science-and-technology-lalitpur-certificate-in-medical-laboratory-technolog/,,,,,,,https://www.collegenp.com/college/asian-college-of-medical-science-and-technology-lalitpur/#discussion,https://www.collegenp.com/college/asian-college-of-medical-science-and-technology-lalitpur/write-review/,https://www.collegenp.com/college/asian-college-of-medical-science-and-technology-lalitpur/#course-list,https://www.collegenp.com/college/asian-college-of-medical-science-and-technology-lalitpur/#contact-detail,24.70038485,78.51866758648347,27.6879352,85.3156517
"B and B Medical Institute,",https://www.collegenp.com/college/b-and-b-medical-institute-lalitpur/,Lalitpur,"Gwarko, Lalitpur",Bachelor of Science (B.Sc) in Nursing,https://www.collegenp.com/course/b-and-b-medical-institute-lalitpur-bachelor-of-science-bsc-in-nursing-bsc-nursing/,PCL Nursing (Staff Nurse),https://www.collegenp.com/course/b-and-b-medical-institute-lalitpur-pcl-nursing-staff-nurse-staff-nurse/,Post Basic Bachelor in Nursing (PBBN),https://www.collegenp.com/course/b-and-b-medical-institute-lalitpur-post-basic-bachelor-in-nursing-pbbn-pbbn/,,,https://www.collegenp.com/college/b-and-b-medical-institute-lalitpur/#discussion,https://www.collegenp.com/college/b-and-b-medical-institute-lalitpur/write-review/,https://www.collegenp.com/college/b-and-b-medical-institute-lalitpur/#course-list,https://www.collegenp.com/college/b-and-b-medical-institute-lalitpur/#contact-detail,24.70038485,78.51866758648347,27.66490635,85.3293451574824
"Bagh Bhairab Secondary School,",https://www.collegenp.com/college/bagh-bhairab-secondary-school-lalitpur/,Lalitpur,"Kaleshwor, Lalitpur",Ten Plus Two (10+2) Management,https://www.collegenp.com/course/bagh-bhairab-secondary-school-lalitpur-ten-plus-two-102-management-2-management/,Ten Plus Two (10+2) Education,https://www.collegenp.com/course/bagh-bhairab-secondary-school-lalitpur-ten-plus-two-102-education-2-education/,,,,,https://www.collegenp.com/college/bagh-bhairab-secondary-school-lalitpur/#discussion,https://www.collegenp.com/college/bagh-bhairab-secondary-school-lalitpur/write-review/,https://www.collegenp.com/college/bagh-bhairab-secondary-school-lalitpur/#course-list,https://www.collegenp.com/college/bagh-bhairab-secondary-school-lalitpur/#contact-detail,24.70038485,78.51866758648347,27.5883868,85.321648
"Bagiswori Secondary School, Taulachhen, Bhaktapur,",https://www.collegenp.com/college/bagiswori-secondary-school-bhaktapur/,Bhaktapur,"Chyamhasing, Bhaktapur",Ten Plus Two (+2) Management,https://www.collegenp.com/course/bagiswori-secondary-school-bhaktapur-ten-plus-two-2-management-2-management/,Ten Plus Two (+2) Humanities,https://www.collegenp.com/course/bagiswori-secondary-school-bhaktapur-ten-plus-two-2-humanities-2-humanities/,Ten Plus Two (+2) Science,https://www.collegenp.com/course/bagiswori-secondary-school-bhaktapur-ten-plus-two-2-science-2-science/,Ten Plus Two (+2) Education,https://www.collegenp.com/course/bagiswori-secondary-school-bhaktapur-ten-plus-two-2-education-2-education/,https://www.collegenp.com/college/bagiswori-secondary-school-bhaktapur/#discussion,https://www.collegenp.com/college/bagiswori-secondary-school-bhaktapur/write-review/,https://www.collegenp.com/college/bagiswori-secondary-school-bhaktapur/#course-list,https://www.collegenp.com/college/bagiswori-secondary-school-bhaktapur/#contact-detail,27.704332,85.452118,27.66490635,85.3293451574824
"Bajra Barahi Secondary School,",https://www.collegenp.com/college/bajra-barahi-secondary-school-lalitpur/,Lalitpur,"Chapagaon, Lalitpur",Ten Plus Two (10+2) Management,https://www.collegenp.com/course/bajra-barahi-secondary-school-lalitpur-ten-plus-two-102-management-2-management/,Ten Plus Two (10+2) Science,https://www.collegenp.com/course/bajra-barahi-secondary-school-lalitpur-ten-plus-two-102-science-2-science/,,,,,https://www.collegenp.com/college/bajra-barahi-secondary-school-lalitpur/#discussion,https://www.collegenp.com/college/bajra-barahi-secondary-school-lalitpur/write-review/,https://www.collegenp.com/college/bajra-barahi-secondary-school-lalitpur/#course-list,https://www.collegenp.com/college/bajra-barahi-secondary-school-lalitpur/#contact-detail,24.70038485,78.51866758648347,27.6025179,85.3250155
"Balkumari Secondary School,",https://www.collegenp.com/college/balkumari-secondary-school-lalitpur/,Lalitpur,"Kupandole, Lalitpur",Ten Plus Two (10+2) Management,https://www.collegenp.com/course/balkumari-secondary-school-lalitpur-ten-plus-two-102-management-2-management/,,,,,,,https://www.collegenp.com/college/balkumari-secondary-school-lalitpur/#discussion,https://www.collegenp.com/college/balkumari-secondary-school-lalitpur/write-review/,https://www.collegenp.com/college/balkumari-secondary-school-lalitpur/#course-list,https://www.collegenp.com/college/balkumari-secondary-school-lalitpur/#contact-detail,24.70038485,78.51866758648347,27.6879352,85.3156517
"Bhadrakali Multiple Campus,",https://www.collegenp.com/college/bhadrakali-multiple-campus-pokhara/,Pokhara,"Kundahar, Pokhara",Bachelor of Business Studies (BBS),https://www.collegenp.com/course/bhadrakali-multiple-campus-pokhara-bachelor-of-business-studies-bbs-bbs/,Bachelor of Arts (BA),https://www.collegenp.com/course/bhadrakali-multiple-campus-pokhara-bachelor-of-arts-ba-ba/,,,,,https://www.collegenp.com/college/bhadrakali-multiple-campus-pokhara/#discussion,https://www.collegenp.com/college/bhadrakali-multiple-campus-pokhara/write-review/,https://www.collegenp.com/college/bhadrakali-multiple-campus-pokhara/#course-list,https://www.collegenp.com/college/bhadrakali-multiple-campus-pokhara/#contact-detail,28.209538,83.991402,28.20472915,84.00620074489629
"Bhakti Adarsha Multiple Campus,",https://www.collegenp.com/college/bhakti-adarsha-multiple-campus/,Lamjung,"Bhotewadar, Lamjung",Bachelor of Business Studies (BBS),https://www.collegenp.com/course/bhakti-aadarsh-multiple-campus-lamjung-bachelor-of-business-studies-bbs-bbs/,Bachelor of Education (B.Ed),https://www.collegenp.com/course/bhakti-aadarsh-multiple-campus-lamjung-bachelor-of-education-bed-bed/,,,,,https://www.collegenp.com/college/bhakti-adarsha-multiple-campus/#discussion,https://www.collegenp.com/college/bhakti-adarsha-multiple-campus/write-review/,https://www.collegenp.com/college/bhakti-adarsha-multiple-campus/#course-list,https://www.collegenp.com/college/bhakti-adarsha-multiple-campus/#contact-detail,28.28755975,84.41894411375014,27.66490635,85.3293451574824
"Bhanubhakta Memorial College,",https://www.collegenp.com/college/bhanubhakta-memorial-college-kathmandu/,Kathmandu,"Lazimpat, Kathmandu",Bachelor's of Business Studies (BBS),https://www.collegenp.com/course/bhanubhakta-memorial-college-kathmandu-bachelors-of-business-studies-bbs-bbs/,Plus Two Humanities,https://www.collegenp.com/course/bhanubhakta-memorial-college-kathmandu-plus-two-humanities-2-humanities/,Plus Two Management,https://www.collegenp.com/course/bhanubhakta-memorial-college-kathmandu-plus-two-management-2-management/,Plus Two Science,https://www.collegenp.com/course/bhanubhakta-memorial-college-kathmandu-plus-two-science-2-science/,https://www.collegenp.com/college/bhanubhakta-memorial-college-kathmandu/#discussion,https://www.collegenp.com/college/bhanubhakta-memorial-college-kathmandu/write-review/,https://www.collegenp.com/college/bhanubhakta-memorial-college-kathmandu/#course-list,https://www.collegenp.com/college/bhanubhakta-memorial-college-kathmandu/#contact-detail,27.708317,85.3205817,27.7214768,85.3201219
"Bhanubhakta Multiple Campus,",https://www.collegenp.com/college/bhanubhakta-multiple-campus-tanahun/,Tanahun,"Khaireni, Tanahun",Bachelor of Business Studies (BBS),https://www.collegenp.com/course/bhanubhakta-multiple-campus-tanahun-bachelor-of-business-studies-bbs-bbs/,Bachelor of Education (B.Ed),https://www.collegenp.com/course/bhanubhakta-multiple-campus-tanahun-bachelor-of-education-bed-bed/,Master of Education (M.Ed) General,https://www.collegenp.com/course/bhanubhakta-multiple-campus-tanahun-master-of-education-med-general-med/,Bachelor of Arts (BA),https://www.collegenp.com/course/bhanubhakta-multiple-campus-tanahun-bachelor-of-arts-ba-ba/,https://www.collegenp.com/college/bhanubhakta-multiple-campus-tanahun/#discussion,https://www.collegenp.com/college/bhanubhakta-multiple-campus-tanahun/write-review/,https://www.collegenp.com/college/bhanubhakta-multiple-campus-tanahun/#course-list,https://www.collegenp.com/college/bhanubhakta-multiple-campus-tanahun/#contact-detail,27.93550785,84.22364600336068,27.8813423,84.4964216
"Birat Health College and Research Centre,",https://www.collegenp.com/college/birat-health-college-and-research-centre-morang/,Morang,"Biratnagar, Morang",Bachelor of Public Health (BPH),https://www.collegenp.com/course/birat-health-college-and-research-centre-morang-bachelor-of-public-health-bph-bph/,Bachelor of Science (B.Sc) in Nursing,https://www.collegenp.com/course/birat-health-college-and-research-centre-morang-bachelor-of-science-bsc-in-nursing-bsc-nursing/,Certificate in Diagnostic Radiography,https://www.collegenp.com/course/birat-health-college-and-research-centre-morang-certificate-in-diagnostic-radiography-certificate/,Certificate in Medical Laboratory Technology (CMLT),https://www.collegenp.com/course/birat-health-college-and-research-centre-morang-certificate-in-medical-laboratory-technology-cmlt-/,https://www.collegenp.com/college/birat-health-college-and-research-centre-morang/#discussion,https://www.collegenp.com/college/birat-health-college-and-research-centre-morang/write-review/,https://www.collegenp.com/college/birat-health-college-and-research-centre-morang/#course-list,https://www.collegenp.com/college/birat-health-college-and-research-centre-morang/#contact-detail,26.610518650000003,87.47285110888922,26.4623007,87.281617
"Birendranagar Multiple Campus,",https://www.collegenp.com/college/birendranagar-multiple-campus-surkhet/,Surkhet,"Birendranagar, Surkhet",Bachelor of Business Studies (BBS),https://www.collegenp.com/course/birendranagar-multiple-campus-surkhet-bachelor-of-business-studies-bbs-bbs/,Bachelor of Arts (BA),https://www.collegenp.com/course/birendranagar-multiple-campus-surkhet-bachelor-of-arts-ba-ba/,Master of Arts (MA) in Political Science,https://www.collegenp.com/course/birendranagar-multiple-campus-surkhet-master-of-arts-ma-in-political-science-ma/,Master of Arts (MA) in Rural Development,https://www.collegenp.com/course/birendranagar-multiple-campus-surkhet-master-of-arts-ma-in-rural-development-ma/,https://www.collegenp.com/college/birendranagar-multiple-campus-surkhet/#discussion,https://www.collegenp.com/college/birendranagar-multiple-campus-surkhet/write-review/,https://www.collegenp.com/college/birendranagar-multiple-campus-surkhet/#course-list,https://www.collegenp.com/college/birendranagar-multiple-campus-surkhet/#contact-detail,29.8826917,80.1912486,28.59887315,81.60585694604744
"Birgunj Nursing Campus,",https://www.collegenp.com/college/birgunj-nursing-campus-parsa/,Parsa,"Birganj, Parsa",Bachelor of Nursing (BN),https://www.collegenp.com/course/birgunj-nursing-campus-parsa-bachelor-of-nursing-bn-bn/,PCL Nursing (Staff Nurse),https://www.collegenp.com/course/birgunj-nursing-campus-parsa-pcl-nursing-staff-nurse-staff-nurse/,,,,,https://www.collegenp.com/college/birgunj-nursing-campus-parsa/#discussion,https://www.collegenp.com/college/birgunj-nursing-campus-parsa/write-review/,https://www.collegenp.com/college/birgunj-nursing-campus-parsa/#course-list,https://www.collegenp.com/college/birgunj-nursing-campus-parsa/#contact-detail,25.8902299,84.97347272041792,27.0135196,84.8763804
"Children Paradise Secondary School,",https://www.collegenp.com/college/children-paradise-secondary-school-lalitpur/,Lalitpur,"Godawari, Lalitpur",Ten Plus Two (10+2) Management,https://www.collegenp.com/course/children-paradise-secondary-school-lalitpur-ten-plus-two-102-management-2-management/,Ten Plus Two (10+2) Humanities,https://www.collegenp.com/course/children-paradise-secondary-school-lalitpur-ten-plus-two-102-humanities-2-humanities/,,,,,https://www.collegenp.com/college/children-paradise-secondary-school-lalitpur/#discussion,https://www.collegenp.com/college/children-paradise-secondary-school-lalitpur/write-review/,https://www.collegenp.com/college/children-paradise-secondary-school-lalitpur/#course-list,https://www.collegenp.com/college/children-paradise-secondary-school-lalitpur/#contact-detail,24.70038485,78.51866758648347,27.58163695,85.33947512202619
"College of Natural Resource and Management-Dhankuta,",https://www.collegenp.com/college/college-of-natural-resource-and-management-dhankuta-dhankuta/,Dhankuta,"Pakhribas, Dhankuta",Bachelor of Science in Agriculture (B.Sc Ag),https://www.collegenp.com/course/college-of-natural-resource-and-management-dhankuta-dhankuta-bachelor-of-science-in-agriculture-bs/,,,,,,,https://www.collegenp.com/college/college-of-natural-resource-and-management-dhankuta-dhankuta/#discussion,https://www.collegenp.com/college/college-of-natural-resource-and-management-dhankuta-dhankuta/write-review/,https://www.collegenp.com/college/college-of-natural-resource-and-management-dhankuta-dhankuta/#course-list,https://www.collegenp.com/college/college-of-natural-resource-and-management-dhankuta-dhankuta/#contact-detail,26.9825083,87.3451034,27.05647145,87.25074835936032
"College of Nursing NAIHS,",https://www.collegenp.com/college/nepalese-army-institute-of-health-sciences-naihs-college-of-nursing/,Kathmandu,"Swoyambhu, Kathmandu",Bachelor of Nursing Science (BNS),https://www.collegenp.com/course/nepalese-army-institute-of-health-sciences-naihs-college-of-nursing-bachelor-of-nursing-science-bns/,B.Sc Nursing,https://www.collegenp.com/course/nepalese-army-institute-of-health-sciences-naihs-college-of-nursing-bsc-nursing-bsc-nursing/,PCL Nursing (Staff Nurse),https://www.collegenp.com/course/nepalese-army-institute-of-health-sciences-naihs-college-of-nursing-pcl-nursing-staff-nurse-staff-/,Master of Nursing (MN),https://www.collegenp.com/course/nepalese-army-institute-of-health-sciences-naihs-college-of-nursing-master-of-nursing-mn-master-of/,https://www.collegenp.com/college/nepalese-army-institute-of-health-sciences-naihs-college-of-nursing/#discussion,https://www.collegenp.com/college/nepalese-army-institute-of-health-sciences-naihs-college-of-nursing/write-review/,https://www.collegenp.com/college/nepalese-army-institute-of-health-sciences-naihs-college-of-nursing/#course-list,https://www.collegenp.com/college/nepalese-army-institute-of-health-sciences-naihs-college-of-nursing/#contact-detail,27.708317,85.3205817,27.7149414,85.2838141
"Dailekh Technical Institute,",https://www.collegenp.com/college/dailekh-technical-institute-dailekh/,Dailekh,"Dailekh Bazar, Dailekh",TSLC in Civil Engineering (Civil Sub-Overseer),https://www.collegenp.com/course/dailekh-technical-institute-dailekh-tslc-in-civil-engineering-civil-sub-overseer-sub-overseer/,TSLC in Medical Lab Technology (Lab Assistant),https://www.collegenp.com/course/dailekh-technical-institute-dailekh-tslc-in-medical-lab-technology-lab-assistant-lab-asistant/,Veterinary JTA,https://www.collegenp.com/course/dailekh-technical-institute-dailekh-veterinary-jta-jta/,,,https://www.collegenp.com/college/dailekh-technical-institute-dailekh/#discussion,https://www.collegenp.com/college/dailekh-technical-institute-dailekh/write-review/,https://www.collegenp.com/college/dailekh-technical-institute-dailekh/#course-list,https://www.collegenp.com/college/dailekh-technical-institute-dailekh/#contact-detail,29.3101044,80.9569421,27.66490635,85.3293451574824
"Damak Model Secondary School,",https://www.collegenp.com/college/damak-model-secondary-school-jhapa/,Jhapa,"Damak, Jhapa",Ten Plus Two in Management,https://www.collegenp.com/course/damak-model-secondary-school-jhapa-ten-plus-two-in-management-2-management/,Ten Plus Two in Education,https://www.collegenp.com/course/damak-model-secondary-school-jhapa-ten-plus-two-in-education-2-education/,Ten Plus Two in Humanities,https://www.collegenp.com/course/damak-model-secondary-school-jhapa-ten-plus-two-in-humanities-2-humanities/,Ten Plus Two in Science,https://www.collegenp.com/course/damak-model-secondary-school-jhapa-ten-plus-two-in-science-2-science/,https://www.collegenp.com/college/damak-model-secondary-school-jhapa/#discussion,https://www.collegenp.com/college/damak-model-secondary-school-jhapa/write-review/,https://www.collegenp.com/college/damak-model-secondary-school-jhapa/#course-list,https://www.collegenp.com/college/damak-model-secondary-school-jhapa/#contact-detail,26.5837354,87.88570103314731,26.6650146,87.7011507
"Damak Multiple Campus,",https://www.collegenp.com/college/damak-multiple-campus-jhapa/,Jhapa,"Damak, Jhapa",Bachelor of Arts (BA),https://www.collegenp.com/course/damak-multiple-campus-jhapa-bachelor-of-arts-ba-ba/,Bachelor of Education (B.Ed),https://www.collegenp.com/course/damak-multiple-campus-jhapa-bachelor-of-education-bed-bed/,Bachelor of Business Studies (BBS),https://www.collegenp.com/course/damak-multiple-campus-jhapa-bachelor-of-business-studies-bbs-bbs/,Bachelor of Science (B.Sc) in Environmental Science,https://www.collegenp.com/course/damak-multiple-campus-jhapa-bachelor-of-science-bsc-in-environmental-science-bsc/,https://www.collegenp.com/college/damak-multiple-campus-jhapa/#discussion,https://www.collegenp.com/college/damak-multiple-campus-jhapa/write-review/,https://www.collegenp.com/college/damak-multiple-campus-jhapa/#course-list,https://www.collegenp.com/college/damak-multiple-campus-jhapa/#contact-detail,26.5837354,87.88570103314731,26.6650146,87.7011507
